2078576,1305,falcon coronavirus uae-hku27
2035391,6699,influenza a virus (a/peregrine falcon/niigata/12/2017(h5n6))
2028550,7434,influenza a virus (a/peregrine falcon/hokkaido/x7/2016(h5n6))
2012470,9968,influenza a virus (a/peregrine falcon/gifu/2102a008/2017(h5n6))
2012467,9971,influenza a virus (a/peregrine falcon/niigata/15/2016(h5n6))
2009208,10117,influenza a virus (a/peregrine falcon/nagasaki/4212a005/2016(h5n6))
2005437,11427,influenza a virus (a/peregrine falcon/israel/1086/2016(h5n8))
1964370,15931,falcon picornavirus,VHostDB
1884639,27134,influenza a virus (a/peregrine falcon/hk/4955/2015(h5n6))
1763728,37658,influenza a virus (a/peregrine falcon/washington/196426/2014(h5n8))
1641896,48891,falcovirus a1,VHostDB
1510155,66613,falconid herpesvirus 1,VHostDB
1231287,95387,influenza a virus (a/peregrine falcon/miyazaki/22m771/2011(h5n1))
1231284,95389,influenza a virus (a/peregrine falcon/nagasaki/4202a039/2011(h5n1))
1231283,95390,influenza a virus (a/peregrine falcon/miyazaki/22m754/2011(h5n1))
1231278,95395,influenza a virus (a/peregrine falcon/miyazaki/22m684/2011(h5n1))
1231273,95400,influenza a virus (a/peregrine falcon/tottori/3102s019/2011(h5n1))
1107336,108851,influenza a virus (a/peregrine falcon/aichi/2302o017/2011(h5n1))
1107335,108852,influenza a virus (a/peregrine falcon/kyoto/2602a009/2011(h5n1))
1034342,116122,influenza a virus (a/peregrine falcon/aomori/7/2011(h5n1))
986732,119640,influenza a virus (a/peregrine falcon/tochigi/15/2011(h5n1))
692069,138451,falcon aviadenovirus a
673326,141839,influenza a virus (a/peregrine falcon/hong kong/810/2009(h5n1))
573964,150009,influenza a virus (a/peregrine falcon/hong kong/5211/2006(h5n1))
573956,150017,influenza a virus (a/peregrine falcon/hong kong/1143/2007(h5n1))
573944,150029,influenza a virus (a/peregrine falcon/hong kong/2142/2008(h5n1))
504694,159588,influenza a virus (a/peregrine falcon/slovakia/vh246/06(h5n1))
485411,161670,influenza a virus (a/peregrine falcon/slovakia/vh242/2006(h5n1))
452112,166069,influenza a virus (a/peregrine/denmark/6632/06(h5n1))
427873,168614,influenza a virus (a/peregrine falcon/slovakia/vh246-06/2006(h5n1))
415864,169583,teita falcon adenovirus
415863,169584,orange-breasted falcon adenovirus
415853,169585,northern aplomado falcon adenovirus
284211,180324,influenza a virus (a/peregrine falcon/hk/d0028/2004(h5n1))
121536,186803,influenza a virus (a/peregrine falcon/u.a.e./188/2384/98(h7n3))
