2078581,1303,quail coronavirus uae-hku30
2066571,1942,influenza a virus (a/quail/egypt/hashm5/2016(h5n1))
2042875,5546,influenza a virus (a/quail/bangladesh/31503/2016(h9n2))
2042874,5547,influenza a virus (a/quail/bangladesh/31244/2016(h9n2))
2042873,5548,influenza a virus (a/quail/bangladesh/31043/2016(h9n2))
2042872,5549,influenza a virus (a/quail/bangladesh/30835/2016(h9n2))
2042871,5550,influenza a virus (a/quail/bangladesh/30637/2016(h9n2))
2042870,5551,influenza a virus (a/quail/bangladesh/29997/2016(h9n2))
2042869,5552,influenza a virus (a/quail/bangladesh/29564/2016(h9n2))
2017697,9335,influenza a virus (a/quail/guangxi/198q39/2015(h9n2))
1974169,14743,influenza a virus (a/quail/vietnam/cvvi-03/2015(h5n6))
1974168,14744,influenza a virus (a/quail/vietnam/cvvi-01/2015(h5n6))
1970161,15369,influenza a virus (a/quail/hong kong/g1/1997(h9n2))
1970160,15370,influenza a virus (a/quail/hong kong/pa-g1/1997(h9n2))
1961782,16273,influenza a virus (a/quail/bangladesh/28122/2016(h9n2))
1961781,16274,influenza a virus (a/quail/bangladesh/27835/2015(h9n2))
1961780,16275,influenza a virus (a/quail/bangladesh/25997/2015(h9n2))
1961779,16276,influenza a virus (a/quail/bangladesh/25992/2015(h9n2))
1961778,16277,influenza a virus (a/quail/bangladesh/25987/2015(h9n2))
1961777,16278,influenza a virus (a/quail/bangladesh/24922/2015(h9n2))
1961776,16279,influenza a virus (a/quail/bangladesh/24225/2015(h9n2))
1960111,16764,influenza a virus (a/quail/bangladesh/24008/2014(h9n2))
1960110,16765,influenza a virus (a/quail/bangladesh/24007/2014(h9n2))
1959131,17053,influenza a virus (a/quail/sukoharjo/04152003/2015(h5n1))
1959130,17054,influenza a virus (a/quail/deliserdang/01160025/2016(h5n1))
1929950,19973,influenza a virus (a/quail/rhode island/16-018622-1/2016(h2n2))
1923881,20886,influenza a virus (a/quail/connecticut/16-016726-1/2016(h2n2))
1919057,22813,influenza a virus (a/quail/vietnam/ncvd-3794/2013(h5n1))
1919056,22814,influenza a virus (a/quail/vietnam/ncvd-3793/2013(h5n1))
1919055,22815,influenza a virus (a/quail/vietnam/ncvd-3791/2013(h5n1))
1919054,22816,influenza a virus (a/quail/vietnam/ncvd-3790/2013(h5n1))
1919053,22817,influenza a virus (a/quail/vietnam/ncvd-3789/2013(h5n1))
1919052,22818,influenza a virus (a/quail/vietnam/ncvd-3788/2013(h5n1))
1822330,33124,influenza a virus (a/quail/egypt/d9842/2014(h9n2))
1822329,33125,influenza a virus (a/quail/egypt/d10106/2014(h9n2))
1822328,33126,influenza a virus (a/quail/egypt/d10105/2014(h9n2))
1822327,33127,influenza a virus (a/quail/egypt/d10093/2014(h9n2))
1770087,37236,influenza a virus (a/quail/egypt/152792v/2015(h9n2))
1770086,37237,influenza a virus (a/quail/egypt/14864v/2014(h9n2))
1770085,37238,influenza a virus (a/quail/egypt/141267v/2014(h9n2))
1751416,39392,influenza a virus (a/quail/zhejiang/a2/2013(h9n2))
1751415,39393,influenza a virus (a/quail/zhejiang/a1/2013(h9n2))
