2094713,1027,serinus canaria papillomavirus 1
2070024,1714,pyrrhula pyrrhula polyomavirus 1
2070023,1715,serinus canaria polyomavirus
2006642,11125,garrulus glandarius associated circular virus 1,VHostDB
1985383,12761,gerygone associated gemycircularvirus 3
1985382,12762,gerygone associated gemycircularvirus 2
1985381,12763,gerygone associated gemycircularvirus 1
1972612,14974,flanders hapavirus,VHostDB
1907771,25569,parus major densovirus,VHostDB
1892177,26608,influenza a virus (a/crow/tarbela/narc-05n-696/2005(h9n2))
1891752,26687,serinus canaria polyomavirus 1
1891751,26688,pyrrhula pyrrhula polyomavirus 1,VHostDB
1891749,26690,cracticus torquatus polyomavirus 1
1891748,26691,corvus monedula polyomavirus 1,VHostDB
1884638,27135,influenza a virus (a/oriental magpie robin/hk/6154/2015(h5n6))
1871309,28730,influenza a virus (a/swallow/vietnam/nt25/2013(h5n1))
1871308,28731,influenza a virus (a/swallow/vietnam/nt24/2013(h5n1))
1871307,28732,influenza a virus (a/swallow/vietnam/nt22/2013(h5n1))
1811932,33730,pan troglodytes troglodytes polyomavirus 2
1792571,34976,pan troglodytes troglodytes polyomavirus
1715291,42884,canary bornavirus 3,VHostDB
1715290,42885,canary bornavirus 2,VHostDB
1715288,42886,canary bornavirus 1,VHostDB
1699094,44188,poecile atricapillus gi tract-associated gemycircularvirus,VHostDB
1684515,44912,influenza a virus (a/crow/india/01ca15/2012(h5n1))
1642515,48812,zebra finch circovirus,VHostDB
1622279,50263,bahig virus,VHostDB
1603849,53697,influenza a virus (a/crow/india/01ca02/2014(h5n1))
1603328,53762,influenza a virus (a/crow/india/03ca06/2012(h5n1))
1590987,58354,influenza a virus (a/crow/india/02ca03/2012(h5n1))
1590986,58355,influenza a virus (a/crow/india/01ca16/2012(h5n1))
1590985,58356,influenza a virus (a/crow/india/01ca12/2012(h5n1))
1555196,62391,influenza a virus (a/crow/india/01tr01/2012(h5n1))
1532844,63858,influenza a virus (a/crow/india/01ca10/2012(h5n1))
1532843,63859,influenza a virus (a/crow/india/01ca08/2012(h5n1))
1531800,63948,influenza a virus (a/crow/india/11ti16/2011(h5n1))
1531799,63949,influenza a virus (a/crow/india/11ti11/2011(h5n1))
1531798,63950,influenza a virus (a/crow/india/02ca07/2012(h5n1))
1531797,63951,influenza a virus (a/crow/india/02ca06/2012(h5n1))
1531796,63952,influenza a virus (a/crow/india/02ca02/2012(h5n1))
1520880,65044,influenza a virus (a/crow/india/11ti07/2011(h5n1))
1482036,68964,influenza a virus (a/crow/india/11cl01/2011(h5n1))
1482035,68965,influenza a virus (a/crow/india/11ca01/2011(h5n1))
1394033,77925,butcherbird polyomavirus,VHostDB
1391038,78074,blackbird associated gemykibivirus 1,VHostDB
1391037,78075,black robin associated gemykibivirus 1,VHostDB
1391035,78077,faeces associated gemycircularvirus 6,VHostDB
1391034,78078,faeces associated gemycircularvirus 5,VHostDB
1391032,78080,faeces associated gemycircularvirus 3,VHostDB
1391030,78082,faecal-associated gemycircularvirus 1c,VHostDB
1391029,78083,faecal-associated gemycircularvirus 1b,VHostDB
1391025,78087,faeces associated gemycircularvirus 10,VHostDB
1277914,91450,influenza a virus (a/oriental magpie robin/hong kong/470.1/2011(h5n1))
1272947,92263,landjia virus,VHostDB
1159907,103911,white-eye coronavirus hku16,VHostDB
1159906,103912,sparrow coronavirus hku17,VHostDB
1159903,103915,magpie-robin coronavirus hku18,VHostDB
1114280,108351,influenza a virus (a/magpie/mongolia/17/2003(h4n6))
1091186,111005,influenza a virus (a/crow/bangladesh/11rs1984-15/2011(h5n1))
1091185,111006,influenza a virus (a/crow/bangladesh/11rs1984-14/2011(h5n1))
1091184,111007,influenza a virus (a/crow/bangladesh/11rs1984-13/2011(h5n1))
1091183,111008,influenza a virus (a/crow/bangladesh/11rs1984-12/2011(h5n1))
1091182,111009,influenza a virus (a/crow/bangladesh/11rs1984-11/2011(h5n1))
1085933,111726,influenza a virus (a/crow/bangladesh/bl-485/2011(h5n1))
1009563,117136,influenza a virus (a/crow/pakistan-khi/narc-11672/2008(h5n1))
881945,125522,canary polyomavirus,VHostDB
871701,127259,oscivirus a2,VHostDB
871700,127260,oscivirus a1,VHostDB
871699,127261,passerivirus a1,VHostDB
755276,131671,influenza a virus (a/oriental magpie robin/hong kong/9298/2009(h5n1))
680811,140609,influenza a virus (a/magpie/korea/y:s-m1/2004(h5n1))
654914,144851,fringilla coelebs papillomavirus (dutch isolate)
641577,146692,influenza a virus (a/crow/assam/142119/2008(h5n1))
602013,148309,influenza a virus (a/magpie/korea/yjd174/2007(h7n7))
573962,150011,influenza a virus (a/magpie robin/hong kong/1097/2008(h5n1))
573940,150033,influenza a virus (a/magpie robin/hong kong/1897/2008(h5n1))
572290,150215,thrush coronavirus hku12-600,VHostDB
572289,150216,munia coronavirus hku13-3514,VHostDB
572288,150217,bulbul coronavirus hku11-934,VHostDB
572287,150218,bulbul coronavirus hku11-796,VHostDB
558394,151604,influenza a virus (a/crow/peshawer/narc7914/2007(h5n1))
496545,160947,influenza a virus (a/crow/egypt/9382namru3-clevb111/2007_(h5n1))
413716,169727,influenza a virus (a/magpie robin/hong kong/366/2006(h5n1))
413715,169728,influenza a virus (a/magpie robin/hong kong/75/2006(h5n1))
400122,171628,finch circovirus,VHostDB
399494,171646,pan troglodytes troglodytes foamy virus
381199,173436,corvus corone cornix 2002 orthoreovirus
349564,176133,finch polyomavirus,VHostDB
349563,176134,crow polyomavirus,VHostDB
349370,176138,starling circovirus,VHostDB
345250,176535,raven circovirus,VHostDB
337615,177148,influenza a virus (a/crow/bangkok/thailand/cu-35/04(h5n1))
337610,177153,influenza a virus (a/crow/bangkok/thailand/cu-25/04(h5n1))
337603,177160,influenza a virus (a/crow/bangkok/thailand/cu-15/04(h5n1))
337592,177171,influenza a virus (a/crow/bangkok/thailand/cu-4/04(h5n1))
291593,179877,influenza a virus (a/crow/osaka/102/2004(h5n1))
291592,179878,influenza a virus (a/crow/kyoto/53/2004(h5n1))
285413,180286,influenza a virus (a/crow/bangkok/thailand/2004(h5n1))
270488,180909,influenza a virus (a/crow/thailand/cu-kaf3/2004(h5n1))
197771,183851,etapapillomavirus 1,VHostDB
142661,186205,canary circovirus,VHostDB
99275,187415,troglodytes troglodytes retrovirus
99273,187417,corvus frugilegus retrovirus
99183,187437,sericulus bakeri retrovirus
93986,187521,gb virus c variant troglodytes
64305,188197,cacipacore virus,VHostDB
44088,188868,canarypox virus,VHostDB
