2094713,1027,serinus canaria papillomavirus 1
2070024,1714,pyrrhula pyrrhula polyomavirus 1
2070023,1715,serinus canaria polyomavirus
1891752,26687,serinus canaria polyomavirus 1
1891751,26688,pyrrhula pyrrhula polyomavirus 1,VHostDB
1715291,42884,canary bornavirus 3,VHostDB
1715290,42885,canary bornavirus 2,VHostDB
1715288,42886,canary bornavirus 1,VHostDB
881945,125522,canary polyomavirus,VHostDB
654914,144851,fringilla coelebs papillomavirus (dutch isolate)
349564,176133,finch polyomavirus,VHostDB
197771,183851,etapapillomavirus 1,VHostDB
142661,186205,canary circovirus,VHostDB
44088,188868,canarypox virus,VHostDB
