1981333,13595,influenza a virus (a/heron/guangdong/c1/2013(h5n6))
1892178,26607,influenza a virus (a/egret/tarbela/narc-05n-694/2005(h9n2))
1658144,47177,influenza a virus (a/egret/peru-ch50/2010(h6n8))
1216888,97272,influenza a virus (a/egret/hunan/1/2012(h9n2))
1159904,103914,night heron coronavirus hku19,VHostDB
1154988,104226,influenza a virus (a/heron/cambodia/tm068/2011(h5n1))
680782,140637,influenza a virus (a/egret/hong kong/757.2/2002(h5n1))
658939,143949,influenza a virus (a/egret/wien/1977/2006(h5n1))
529611,155375,influenza a virus (a/egret/egypt/1162-namru3/2006(h5n1))
452947,165968,influenza a virus (a/heron/cicurug/ipb25-rs/2006(h5n1))
303925,179314,influenza a virus (a/egret/hong kong/757.2/2003(h5n1))
279797,180585,influenza a virus (a/egret/hong kong/757.3/2002(h5n1))
28300,189769,heron hepatitis b virus,VHostDB
