2116431,697,wenling scaldfish picornavirus 2
2116430,698,wenling scaldfish picornavirus 1
2116429,699,wenling pleuronectiformes picornavirus
2116342,758,wenling scaldfish reovirus
2116198,785,wenling crossorhombus picornavirus
2116120,862,wenling plagiopsetta astrovirus
2116118,864,wenling crossorhombus astrovirus 2
2116117,865,wenling crossorhombus astrovirus 1
1887314,26867,ranavirus maximus,VHostDB
1577805,59367,atlantic halibut reovirus
1390982,78099,pseudorhombus cinnamoneus ranavirus
1390981,78100,aesopia cornuta ranavirus
1313165,86498,paralichthys olivaceus rhabdovirus,VHostDB
1110529,108757,solea solea betanodavirus
1110528,108758,solea senegalensis betanodavirus
994485,118738,scophthalmus maximus reovirus
936149,122208,scophthalmus maximus rhabdovirus,VHostDB
683176,140059,senegalese sole iberian betanodavirus,VHostDB
670554,142079,zebrias sp. iridovirus
670546,142087,pseudorhombus sp. nervous necrosis virus
475879,162670,paralichthys olivaceus birnavirus
412061,169764,halibut betanodavirus v9954
346653,176492,paralichthys olivaceus nervous necrosis virus
323824,178261,turbot reddish body syndrome iridovirus
279012,180636,zebrias zebra nervous necrosis virus
273651,180691,turbot reddish body iridovirus,VHostDB
273299,180760,solea senegalensis nervous necrosis virus
266016,181128,turbot iridovirus
256729,181527,lymphocystis disease virus - isolate china,VHostDB
255685,181571,turbot nodavirus
235464,182033,hippoglossus hippoglossus betanodavirus
99486,187398,atlantic halibut nodavirus
43761,188883,barfin flounder nervous necrosis virus,VHostDB
