1881005,28434,ateles paniscus cytomegalovirus
1881002,28437,alouatta seniculus cytomegalovirus
1881001,28438,alouatta palliata cytomegalovirus
1881000,28439,alouatta macconnelli cytomegalovirus
1784959,35919,alouatta guariba papillomavirus 1
1603066,53774,black howler monkey smacovirus,VHostDB
1236391,95137,ateles paniscus polyomavirus 1,VHostDB
1093781,109688,lagothrix lagotricha lymphocryptovirus 1
1093776,109693,ateles geoffroyi lymphocryptovirus 1
1093775,109694,ateles fusciceps lymphocryptovirus 1
1093774,109695,ateles belzebuth lymphocryptovirus 1
472571,162949,spider monkey simian foamy virus,VHostDB
209266,183332,ateles paniscus lymphocryptovirus 1
202050,183658,ateles geoffroyi papillomavirus
85618,187652,ateline gammaherpesvirus 3,VHostDB
68416,188124,woolly monkey hepatitis b virus,VHostDB
35243,189410,ateline alphaherpesvirus 1,VHostDB
11970,190223,woolly monkey sarcoma virus,VHostDB
