1934317,19043,poicephalus adenovirus
1891747,26692,aves polyomavirus 1,VHostDB
1884879,27124,parrot bornavirus 5,VHostDB
1580497,59166,psittacine adenovirus 3,VHostDB
1548718,62773,parrot bornavirus 4,VHostDB
1548715,62775,parrot bornavirus 2,VHostDB
1548714,62776,parrot bornavirus 1,VHostDB
1282444,90591,cyanoramphus nest associated circular k dna virus,VHostDB
1282443,90592,cyanoramphus nest associated circular x dna virus,VHostDB
1128118,107466,parrot hepatitis b virus,VHostDB
654917,144848,psittacus erithacus timneh papillomavirus (isolate african grey parrot)
197772,183850,thetapapillomavirus 1,VHostDB
50294,188661,psittacid alphaherpesvirus 1,VHostDB
