2203081,48,baiomys poxvirus
2184405,137,rattus tanezumi parechovirus
2184404,138,rattus tanezumi hunnivirus
2184403,139,niviventer confucianus hunnivirus
2184396,143,niviventer confucianus picornavirus
2184393,146,apodemus agrarius picornavirus
2182467,187,mastomys natalensis polyomavirus 2
2171394,283,mus musculus polyomavirus 3
2171392,285,murine sapovirus
2171391,286,murine picornavirus
2171390,287,murine picobirnavirus 3
2171389,288,murine picobirnavirus 2
2171388,289,murine picobirnavirus 1
2171387,290,murine feces-associated rhabdovirus
2171386,291,murine feces-associated hepe-like virus
2171385,292,murine feces-associated gemycircularvirus 2
2171384,293,murine feces-associated gemycircularvirus 1
2171383,294,murine circovirus
2171382,295,murine chapparvovirus
2171381,296,murine bocavirus
2171380,297,murine astrovirus 2
2171379,298,murine astrovirus 1
2171378,299,murine adeno-associated virus 2
2171377,300,murine adeno-associated virus 1
2171376,301,mouse papillomavirus 1
2170408,332,apodemus flavicollis polyomavirus 1
2170404,336,glis glis polyomavirus 1
2161811,480,marmot cardiovirus
2161810,481,marmot kobuvirus
2161809,482,marmot mosavirus
2161807,484,marmot norovirus
2161805,485,marmot sapovirus
2161804,486,marmot sapelovirus 2
2161803,487,marmot sapelovirus 1
2161802,488,marmot astrovirus 6
2161801,489,marmot astrovirus 5
2161800,490,marmot astrovirus 4
2161799,491,marmot astrovirus 3
2161798,492,marmot astrovirus 2
2161797,493,marmot astrovirus 1
2161795,494,marmot picobirnavirus
2137546,516,rodent bocavirus
2137545,517,rodent protoparvovirus 3
2126132,626,rodent hepevirus
2116604,639,pohorje myodes paramyxovirus 1
2116560,641,mount mabu lophuromys virus 2
2116559,642,mount mabu lophuromys virus 1
2093376,1061,rat astrovirus rt/x104/xiamen
2093375,1062,rat astrovirus rn/s510/guangzhou
2072393,1335,akodon sp. endogenous virus mystr
2069371,1800,rodent cardiovirus
2059415,2619,himalayan marmot bocaparvovirus 2
2059413,2620,himalayan marmot bocaparvovirus 1
2054616,3102,torque teno calomys tener virus
2053130,3228,bank vole virus
2050021,4224,rodent pestivirus
2050020,4225,rodent papillomavirus
2050018,4227,rodent coronavirus
2050016,4229,rodent circovirus
2050015,4230,rodent hepacvirus
2050013,4232,rodent hantavirus
2050012,4233,jerboa hantavirus
2050010,4235,rodent adenovirus
2050008,4237,jerboa arenavirus
2039784,5893,mus musculus picornavirus
2039491,5910,rat astrovirus
2029293,7408,squirrelpox virus berlin_2015,VHostDB
2025359,7903,murmansk poxvirus,VHostDB
2008764,10132,hepacivirus e,VHostDB
2007183,11109,rat herpesvirus
2006148,11243,microtus arvalis polyomavirus 1
2006147,11244,myodes glareolus polyomavirus 1
1987744,12178,squirrel associated cyclovirus 1
1987142,12478,rodent hepatovirus kef121sigmas2012
1987141,12479,rodent hepatovirus civ459lopsik2004
1987140,12480,rodent hepatovirus rmu101637micarv2010,VHostDB
1985405,12739,rat associated gemycircularvirus 1
1980489,13829,sangassou orthohantavirus,VHostDB
1980481,13837,montano orthohantavirus,VHostDB
1980475,13843,khabarovsk orthohantavirus,VHostDB
1980467,13851,dobrava-belgrade orthohantavirus,VHostDB
1980463,13855,cano delgadito orthohantavirus,VHostDB
1980456,13862,andes orthohantavirus,VHostDB
1968887,15467,squirrel adenovirus 1,VHostDB
1965064,15707,african pouched rat arterivirus,VHostDB
1964806,15726,coronavirus accov-jc34,VHostDB
1961666,16343,qinghai himalayan marmot astrovirus 2,VHostDB
1961665,16344,qinghai himalayan marmot astrovirus 1,VHostDB
1940555,18164,murine roseolovirus,VHostDB
1930508,19782,rasavirus sp.,VHostDB
1926502,20425,urucuri virus,VHostDB
1919247,22808,rattus norvegicus polyomavirus 2,VHostDB
1914442,23830,rodent astrovirus
1908802,25293,mouse cyclovirus,VHostDB
1906175,25777,bastrovirus/vietnam/rat/16715_10,VHostDB
1902502,25939,rosavirus c,VHostDB
1902501,25940,rosavirus b,VHostDB
1891770,26669,mus musculus polyomavirus 2,VHostDB
1891768,26671,mastomys natalensis polyomavirus 1,VHostDB
1891730,26708,mus musculus polyomavirus 1
1891729,26709,mesocricetus auratus polyomavirus 1,VHostDB
1885571,26913,rat parvovirus 2
1885248,27116,variegated squirrel bornavirus 1,VHostDB
1834533,32224,porcupine caribou gammaherpesvirus 2
1834532,32225,porcupine caribou gammaherpesvirus 1
1821748,33191,kobuvirus bamboo rat
1819366,33405,rattus tanezumi adenovirus
1819365,33406,rattus norvegicus adenovirus
1819364,33407,rattus losea adenovirus
1806636,34094,rodent arterivirus
1788456,35823,eothenomys eleusis hantavirus fugv,VHostDB
1788315,35869,rat bocavirus,VHostDB
1776747,36437,rat norovirus
1763507,37714,rat bufavirus sy-2015,VHostDB
1756445,38903,rattus norvegicus papillomavirus 3,VHostDB
1745247,39650,rodent hepatovirus
1737523,39945,common vole polyomavirus,VHostDB
1737522,39946,bank vole polyomavirus,VHostDB
1734443,40216,rat arterivirus 3
1734442,40217,rat arterivirus 2
1734441,40218,rat arterivirus 1,VHostDB
1734440,40219,rat arterivirus 4
1734439,40220,rat arterivirus jilin2014,VHostDB
1708653,43152,gemycircularvirus gemy-ch-rat1,VHostDB
1699316,44154,rat stool-associated circular ssdna virus,VHostDB
1679933,45218,rattus norvegicus polyomavirus 1,VHostDB
1651168,47901,ectromelia virus naval,VHostDB
1642458,48813,okahandja mammarenavirus,VHostDB
1642436,48814,mariental mammarenavirus,VHostDB
1640278,49267,rat cytomegalovirus all-03,VHostDB
1615765,50940,murine leukemia virus nzw-1
1609158,53081,praomys arenavirus
1605972,53335,cricetid gammaherpesvirus 2,VHostDB
1603962,53696,rabovirus a,VHostDB
1592764,58231,cyclovirus tscyv-1_jp-nubs-2014,VHostDB
1590370,58504,betacoronavirus hku24,VHostDB
1588685,58669,wenzhou mammarenavirus,VHostDB
1562069,61991,rat picornavirus
1562068,61992,norway rat rosavirus
1562066,61994,norway rat pestivirus,VHostDB
1562065,61995,norway rat pegivirus,VHostDB
