2184405,137,rattus tanezumi parechovirus
2184404,138,rattus tanezumi hunnivirus
2184403,139,niviventer confucianus hunnivirus
2184396,143,niviventer confucianus picornavirus
2184393,146,apodemus agrarius picornavirus
2182467,187,mastomys natalensis polyomavirus 2
2171394,283,mus musculus polyomavirus 3
2171392,285,murine sapovirus
2171391,286,murine picornavirus
2171390,287,murine picobirnavirus 3
2171389,288,murine picobirnavirus 2
2171388,289,murine picobirnavirus 1
2171387,290,murine feces-associated rhabdovirus
2171386,291,murine feces-associated hepe-like virus
2171385,292,murine feces-associated gemycircularvirus 2
2171384,293,murine feces-associated gemycircularvirus 1
2171383,294,murine circovirus
2171382,295,murine chapparvovirus
2171381,296,murine bocavirus
2171380,297,murine astrovirus 2
2171379,298,murine astrovirus 1
2171378,299,murine adeno-associated virus 2
2171377,300,murine adeno-associated virus 1
2171376,301,mouse papillomavirus 1
2170408,332,apodemus flavicollis polyomavirus 1
2116560,641,mount mabu lophuromys virus 2
2116559,642,mount mabu lophuromys virus 1
2093376,1061,rat astrovirus rt/x104/xiamen
2093375,1062,rat astrovirus rn/s510/guangzhou
2039784,5893,mus musculus picornavirus
2039491,5910,rat astrovirus
2007183,11109,rat herpesvirus
1985405,12739,rat associated gemycircularvirus 1
1980489,13829,sangassou orthohantavirus,VHostDB
1980467,13851,dobrava-belgrade orthohantavirus,VHostDB
1964806,15726,coronavirus accov-jc34,VHostDB
1940555,18164,murine roseolovirus,VHostDB
1930508,19782,rasavirus sp.,VHostDB
1919247,22808,rattus norvegicus polyomavirus 2,VHostDB
1908802,25293,mouse cyclovirus,VHostDB
1906175,25777,bastrovirus/vietnam/rat/16715_10,VHostDB
1902502,25939,rosavirus c,VHostDB
1902501,25940,rosavirus b,VHostDB
1891770,26669,mus musculus polyomavirus 2,VHostDB
1891768,26671,mastomys natalensis polyomavirus 1,VHostDB
1891730,26708,mus musculus polyomavirus 1
1885571,26913,rat parvovirus 2
1821748,33191,kobuvirus bamboo rat
1819366,33405,rattus tanezumi adenovirus
1819365,33406,rattus norvegicus adenovirus
1819364,33407,rattus losea adenovirus
1788315,35869,rat bocavirus,VHostDB
1776747,36437,rat norovirus
1763507,37714,rat bufavirus sy-2015,VHostDB
1756445,38903,rattus norvegicus papillomavirus 3,VHostDB
1734443,40216,rat arterivirus 3
1734442,40217,rat arterivirus 2
1734440,40219,rat arterivirus 4
1708653,43152,gemycircularvirus gemy-ch-rat1,VHostDB
1699316,44154,rat stool-associated circular ssdna virus,VHostDB
1679933,45218,rattus norvegicus polyomavirus 1,VHostDB
1651168,47901,ectromelia virus naval,VHostDB
1642458,48813,okahandja mammarenavirus,VHostDB
1642436,48814,mariental mammarenavirus,VHostDB
1640278,49267,rat cytomegalovirus all-03,VHostDB
1615765,50940,murine leukemia virus nzw-1
1609158,53081,praomys arenavirus
1603962,53696,rabovirus a,VHostDB
1590370,58504,betacoronavirus hku24,VHostDB
1588685,58669,wenzhou mammarenavirus,VHostDB
1562069,61991,rat picornavirus
1562068,61992,norway rat rosavirus
1562066,61994,norway rat pestivirus,VHostDB
1562065,61995,norway rat pegivirus,VHostDB
1562064,61996,norway rat hunnivirus,VHostDB
1562062,61998,norway rat arterivirus
1562049,62001,norway rat kobuvirus 2
1562048,62002,norway rat kobuvirus 1
1562039,62003,norway rat hepacivirus 2,VHostDB
1562038,62004,norway rat hepacivirus 1,VHostDB
1560378,62306,rat stool-associated circular ssdna virus mu/10/1799
1560377,62307,rat stool-associated circular ssdna virus mu/10/1772
1560376,62308,rat bocavirus ks/11/0576-1
1560375,62309,rat sapovirus ks/11/0572-2
1560372,62310,rat rotavirus b mu/10/1805
1535802,63741,gairo mammarenavirus,VHostDB
1531305,63991,polytropic endogenous mouse leukemia virus
1526585,64298,melomys burtoni retrovirus
1524024,64425,rat astrovirus ne/fg168/yunnan
1524023,64426,rat astrovirus ne/fg111/yunnan
1524022,64427,rat astrovirus ne/fg048/yunnan
1524021,64428,rat astrovirus ne/fg047/yunnan
1524020,64429,rat astrovirus ne/fg046/yunnan
1524019,64430,rat astrovirus ne/fg045/yunnan
1514665,65881,rodent torque teno virus 2,VHostDB
1514664,65882,rodent torque teno virus 1,VHostDB
1511763,66552,polytropic murine leukemia virus,VHostDB
1511762,66553,ecotropic murine leukemia virus
1508224,66749,lucheng rn rat coronavirus,VHostDB
1508223,66750,longquan rl rat coronavirus
1508222,66751,longquan aa mouse coronavirus
1506566,67030,cyclovirus zm32,VHostDB
1474807,69590,mojiang virus,VHostDB
1431748,74536,murine herpesvirus
1316043,86270,mouse parvovirus 7
1316042,86271,mouse parvovirus 6
1302373,87846,norovirus rat/gi/ks12/1305/dnk
1299922,88188,rat minute virus,VHostDB
1294177,88886,sebokele virus 1,VHostDB
1274582,92041,norovirus mouse/kumamoto/ku336/2012/jp
1274581,92042,norovirus mouse/kumamoto/ku325/2012/jp
1274580,92043,norovirus mouse/kumamoto/ku257/2012/jp
1274579,92044,norovirus mouse/kumamoto/ku256/2012/jp
1261657,93333,murid betaherpesvirus 8,VHostDB
1248250,93791,rat parvovirus ntu1,VHostDB
1176009,102123,norovirus mouse/kumamoto/ku50/2012/jp
1176008,102124,norovirus mouse/kumamoto/ku49/2012/jp
1176007,102125,norovirus mouse/kumamoto/ku46/2012/jp
1176006,102126,norovirus mouse/kumamoto/ku29/2012/jp
1176005,102127,norovirus mouse/kumamoto/ku23/2012/jp
1176004,102128,norovirus mouse/kumamoto/ku22/2012/jp
1176003,102129,norovirus mouse/kumamoto/ku04/2012/jp
1176002,102130,norovirus mouse/kumamoto/ku02/2012/jp
1162972,103427,murine norovirus vienna/biat2011
1146873,104956,murine mastadenovirus b
1141625,105866,murine astrovirus,VHostDB
1141624,105867,murine kobuvirus 1
1134579,107023,lunk virus nks-1,VHostDB
1117633,107743,tailam virus,VHostDB
1076255,112305,yokapox virus,VHostDB
1074428,112396,mouse mosavirus
1074210,112518,mouse astrovirus m-52/usa/2008,VHostDB
1074209,112519,mouse sapelovirus m-58/usa/2008
1036965,115824,rattus norvegicus papillomavirus 2
