2029771,7328,tioga picorna-like virus 1,VHostDB
1986113,12564,chinook salmon nidovirus 1
1963254,15976,fall chinook aquareovirus,VHostDB
1680908,45186,salmon gill poxvirus,VHostDB
1661392,46520,victorian trout aquabirnavirus,VHostDB
1611837,52930,chinook salmon bafinivirus,VHostDB
1489836,68422,atlantic salmon calicivirus,VHostDB
1183064,101738,salmonid alphavirus subtype 3,VHostDB
1157337,104099,piscine orthoreovirus,VHostDB
1110526,108760,salmo trutta trutta betanodavirus
1016879,117105,cutthroat trout virus,VHostDB
912320,123165,piscine myocarditis virus al v-708,VHostDB
857317,128777,atlantic salmon reovirus oh-2010
652965,145251,infectious salmon anemia virus isolate 810/9/99
607705,148276,atlantic salmon reovirus canada-2009
429743,168510,atlantic salmon reovirus ts
381543,173416,salmon aquaparamyxovirus,VHostDB
348296,176394,atlantic salmon swim bladder sarcoma virus,VHostDB
348289,176398,pacific salmon paramyxovirus
274077,180685,pacific salmon paramyxovirus trask river 1983
253334,181646,atlantic salmon respirovirus
232580,182146,salmo salar paramyxovirus
173082,184843,chum salmon reovirus cs,VHostDB
84589,187667,salmon pancreas disease virus,VHostDB
78540,187784,sleeping disease virus,VHostDB
57748,188537,coho salmon aquareovirus
56051,188570,oncorhynchus mykiss ranavirus
55987,188573,salmon isavirus,VHostDB
11290,190593,infectious hematopoietic necrosis virus,VHostDB
11002,190839,infectious pancreatic necrosis virus,VHostDB
