2116333,765,guangdong catfish astro-like virus
2116182,801,guangdong spotted longbarbel catfish picornavirus
1959744,16859,european catfish circovirus
1126411,107532,silurus glanis circovirus,VHostDB
910245,123489,channel catfish reovirus 730
596241,148360,mystus gulio nervous necrosis virus
210020,183308,chinese catfish nervous necrosis virus
100215,187384,catfish iridovirus
95346,187492,silurus glanis ranavirus
84739,187666,european catfish virus,VHostDB
56049,188572,ictalurus melas ranavirus
10401,191270,ictalurid herpesvirus 1,VHostDB
