2116172,811,beihai pentapodus picornavirus
1898060,26053,lymphocystis disease virus sa,VHostDB
1885928,26891,sparus aurata papillomavirus 1,VHostDB
1885927,26892,sparus aurata polyomavirus 1,VHostDB
1537281,63683,spondyliosoma cantharus betanodavirus
1537280,63684,pagellus acarne betanodavirus
1537270,63686,diplodus vulgaris betanodavirus
1390987,78094,nemipterus virgatus ranavirus
1110530,108756,sparus aurata betanodavirus
1110524,108762,pagellus sp. betanodavirus
670562,142071,dentex tumifrons iridovirus
346649,176496,diplodus sargus nervous necrosis virus
346648,176497,sparus aurata nervous necrosis virus
