2116373,741,chinese softshell turtle hepacivirus
2116372,742,chinese broad-headed pond turtle hepacivirus
2116345,755,chinese broad-headed pond turtle arterivirus
2116326,772,chinese broad-headed pond turtle astro-like virus
2116177,806,chinese softshell turtle picornavirus 2
2116176,807,chinese softshell turtle picornavirus 1
2116175,808,chinese broad-headed pond turtle picornavirus 2
2116174,809,chinese broad-headed pond turtle picornavirus 1
2019557,8923,turtle herpesvirus
1766570,37447,box turtle ranavirus
1215919,97278,eastern box turtle adenovirus
1194096,100755,influenza a virus (a/turtle dove/guangdong/300/2005(h5n1))
572143,150223,box turtle adenovirus 1
257469,181469,turtle herpesviruses
256817,181476,fibropapilloma-associated turtle herpesvirus
77836,187793,olive ridley turtle herpesvirus
70565,188008,florida green turtle herpesvirus
70171,188015,loggerhead turtle herpesvirus
70170,188016,green turtle herpesvirus
