1177753,101966,cordyline virus 4
1177752,101967,cordyline virus 3
1177751,101968,cordyline virus 2
1120751,107626,chocolate lily virus a,VHostDB
937809,122108,cordyline virus 1,VHostDB
706497,136617,triteleia mosaic virus
676234,141501,furcraea necrotic streak virus,VHostDB
445435,166336,asparagus virus 3,VHostDB
387423,172409,agave tequilana leaf virus,VHostDB
380669,173594,dracaena mottle virus,VHostDB
336013,177360,eustrephus virus y
214439,183199,hosta virus x,VHostDB
184750,184464,yucca bacilliform virus
39681,189061,asparagus virus 2,VHostDB
