2051550,3583,cabbage cytorhabdovirus 1
2028130,7482,raphanus sativus cryptic virus 4
1849335,31070,arabidopsis halleri partitivirus 1,VHostDB
1768875,37379,brassica rapa cryptic virus 1
1768874,37380,sinapis alba cryptic virus 1,VHostDB
1768871,37381,raphanus sativus partitivirus 1
1766828,37407,turnip leaf roll virus,VHostDB
1692191,44432,brassica campestris chrysovirus 1
1507726,66803,radish leaf curl alphasatellite
1504733,67243,papaya leaf curl faisalabad virus,VHostDB
1497848,67870,papaya meleira virus,VHostDB
1325580,83792,radish leaf curl virus-hajipur [in:labiso:11]
1325579,83793,radish leaf curl virus-hajipur [in:bih06:10]
1325578,83794,radish leaf curl virus-hajipur [in:bih:ok09],VHostDB
1263749,92844,alliaria petiolata tymovirus
1170670,102653,raphanus leaf curl betasatellite
1169032,102778,wasabi mottle virus,VHostDB
1162393,103518,raphanus sativas chrysovirus 1
1134400,107027,raphanus sativus leaf curl bhatinda virus
1112202,108515,papaya leaf curl alphasatellite,VHostDB
1108495,108837,raphanus latent virus
1046403,114678,brassica yellows virus,VHostDB
928315,122836,papaya leaf crumple virus,VHostDB
913602,123148,papaya leaf crumple virus-najafgarh 1 [india:new delhi:papaya:2008],VHostDB
913601,123149,papaya leaf crumple virus-nirulas [india:new delhi:papaya:2007],VHostDB
913600,123150,papaya leaf crumple virus-panipat 8 [india:panipat:papaya:2008],VHostDB
913599,123151,chilli leaf curl virus-noida [india:uttar pradesh:papaya:2009],VHostDB
913598,123152,chilli leaf curl virus-najafgarh2 [india:new delhi:papaya:2009],VHostDB
913597,123153,chilli leaf curl virus-panipat1 [india:panipat:papaya:2008],VHostDB
913596,123154,chilli leaf curl virus-hd [india:new delhi:papaya:2007],VHostDB
913595,123155,chilli leaf curl virus-du [india:new delhi:papaya:2009],VHostDB
859650,128594,turnip curly top virus,VHostDB
858518,128634,cleome yellow mosaic virus
858517,128635,cleome golden mosaic virus,VHostDB
857288,128780,arabis mosaic virus small satellite rna barley/che/1991
714640,135853,papaya leaf curl betasatellite,VHostDB
685899,139468,papaya lethal yellowing virus,VHostDB
666147,142588,euphorbia yellow mosaic virus associated dna 1,VHostDB
666146,142589,cleome leaf crumple alphasatellite,VHostDB
666144,142591,cleome leaf crumple virus,VHostDB
662596,143160,radish leaf curl betasatellite,VHostDB
655360,144761,radish leaf curl virus betasatellite[india:pratapgarh2:2008]
631718,147223,papaya leaf curl china virus gx4,VHostDB
623710,147792,papaya leaf curl china virus henzm1,VHostDB
580254,149546,raphanus sativus cryptic virus 3,VHostDB
545259,152955,melandrium yellow fleck virus,VHostDB
504341,159688,radish leaf curl virus betasatellite[india:pratapgarh3:2008]
435646,167784,radish leaf curl virus,VHostDB
392504,172027,turnip ringspot virus,VHostDB
371638,174266,cleome bright yellow mosaic virus
361519,175147,cleome affinis begomovirus - brazil
351495,176052,raphanus sativus cryptic virus 2,VHostDB
348449,176380,raphanus sativus cryptic virus 1,VHostDB
345184,176545,cabbage leaf curl jamaica virus
328061,178026,radish mosaic virus,VHostDB
319460,178586,radish yellow edge virus
300942,179480,turnip mosaic virus (isolate uk1),VHostDB
300879,179482,cassia yellow blotch virus,VHostDB
298975,179571,turnip crinkle virus virulent satellite rna c
295020,179743,radish partitivirus jc-2004
283676,180375,arabis mosaic virus (isolate syrah)
283663,180377,papaya leaf curl china virus-guangzhou isolate,VHostDB
282063,180485,arabis mosaic virus strain nw
271479,180864,papaya leaf curl guandong virus,VHostDB
268956,181029,beet mild curly top virus - [worland],VHostDB
264076,181213,horseradish latent virus,VHostDB
228578,182374,youcai mosaic virus,VHostDB
218923,182975,turnip rosette virus,VHostDB
198589,183782,beet western yellows st9 associated virus,VHostDB
196094,183938,turnip crinkle virus satellite rna
190809,184191,arabis mosaic virus large satellite rna
188141,184237,spring beauty latent virus,VHostDB
116056,186927,pelargonium zonate spot virus,VHostDB
53260,188616,papaya leaf curl virus,VHostDB
51336,188649,cabbage leaf curl virus,VHostDB
46917,188764,papaya leaf distortion mosaic virus,VHostDB
46448,188776,horseradish curly top virus,VHostDB
36396,189264,turnip mosaic virus (strain quebec)
31751,189521,turnip yellow mosaic virus (isolate tymc)
31711,189557,cardamine chlorotic fleck virus,VHostDB
31558,189677,cauliflower mosaic virus (strain w260)
31557,189678,cauliflower mosaic virus (strain ny8153)
31556,189679,cauliflower mosaic virus (strain bbc)
29272,189719,turnip vein-clearing virus,VHostDB
12230,190007,turnip mosaic virus,VHostDB
12206,190031,papaya ringspot virus p,VHostDB
12205,190032,papaya ringspot virus,VHostDB
12183,190051,potato virus x,VHostDB
12181,190053,papaya mosaic virus,VHostDB
12155,190077,turnip yellow mosaic virus (australian isolate)
12154,190078,turnip yellow mosaic virus,VHostDB
12152,190080,erysimum latent virus,VHostDB
11988,190207,turnip crinkle virus,VHostDB
10648,191100,cauliflower mosaic virus (strain strasbourg)
10647,191101,cauliflower mosaic virus (strain pv147)
10646,191102,cauliflower mosaic virus (strain s-japan)
10645,191103,cauliflower mosaic virus (strain d/h)
10644,191104,cauliflower mosaic virus (strain cm-1841)
10643,191105,cauliflower mosaic virus (strain bari 1)
10642,191106,cauliflower mosaic virus (strain d4)
10641,191107,cauliflower mosaic virus,VHostDB
