Boraginales,1
Pinales,2
Araucariales,1
Vitales,84
Dilleniales,1
Celastrales,1
Charales,1
Aquifoliales,1
Asparagales,148
Fabales,390
Oxalidales,5
Cucurbitales,147
Saxifragales,12
Ericales,32
Myrtales,12
Geraniales,5
Malvales,458
Sapindales,47
Cornales,3
Ranunculales,36
Arecales,15
Dioscoreales,72
Poales,313
Piperales,59
Alismatales,19
Commelinales,4
Liliales,26
Zingiberales,45
Asterales,228
Dipsacales,15
Lamiales,93
Solanales,996
Gentianales,24
Apiales,46
Rosales,141
Brassicales,101
Malpighiales,212
Caryophyllales,156
Fagales,2
Laurales,2
Magnoliales,1
Cycadales,1
Polypodiales,1
NA,1
