2126804,604,boerhavia golden mosaic virus
2049883,4252,mirabilis leaf curl betasatellite
1979336,14041,mirabilis begomovirus
1603070,53770,bougainvillea badna virus
1507403,66810,mirabilis leaf curl india virus associated betasatellite,VHostDB
1507006,66984,mirabilis leaf curl india virus
1431395,74592,mirabilis leaf curl virus,VHostDB
1431394,74593,mirabilis vein yellowing virus
1170654,102664,bougainvillea leaf curl virus
1093773,109696,mirabilis jalapa mottle virus,VHostDB
361697,175143,boerhavia yellow spot virus
263892,181223,bougainvillea chlorotic vein banding virus,VHostDB
194445,184039,mirabilis mosaic virus,VHostDB
