1899566,25944,ligustrum virus a,VHostDB
1853762,30824,jasmine virus c,VHostDB
1811408,33755,privet leaf blotch-associated virus,VHostDB
1775963,36589,jasmine virus t,VHostDB
1725341,41929,privet ringspot virus,VHostDB
1250316,93635,olive viral satellite rna,VHostDB
1134397,107030,jasminum sambac leaf curl lakshmangarh virus
879624,125762,ligustrum ringspot virus
722755,135097,lilac leaf chlorosis virus,VHostDB
478550,162304,ligustrum necrotic ringspot virus,VHostDB
295090,179740,olive mild mosaic virus,VHostDB
82791,187726,olive leaf yellowing-associated virus,VHostDB
