1283104,90473,lantana yellow vein alphasatellite
1283103,90474,duranta leaf curl alphasatellite
1170668,102655,lantana yellow vein betasatellite
1170661,102658,lantana yellow vein virus
1134396,107031,duranta erecta leaf curl lakshmangarh virus
1076345,112260,catharanthus yellow mosaic virus,VHostDB
742163,134657,duranta leaf curl virus
515446,156432,verbena virus y,VHostDB
404404,170685,coleus vein necrosis virus,VHostDB
317626,178676,verbena canadensis potyvirus ma-2005
290007,179928,stachytarpheta leaf curl virus - [hn35]
290006,179929,stachytarpheta leaf curl virus - [hn33]
290005,179930,stachytarpheta leaf curl virus - [hn32]
290004,179931,stachytarpheta leaf curl virus - [hn31]
290003,179932,stachytarpheta leaf curl virus - [hn29]
290002,179933,stachytarpheta leaf curl virus - [hn28]
290001,179934,stachytarpheta leaf curl virus - [hn27]
290000,179935,stachytarpheta leaf curl virus - [hn26]
289999,179936,stachytarpheta leaf curl virus - [hn34],VHostDB
289998,179937,stachytarpheta leaf curl virus - [hn30],VHostDB
269281,180990,stachytarpheta leaf curl virus - [hn6.1],VHostDB
269280,180991,stachytarpheta leaf curl virus - [hn5.4],VHostDB
223329,182637,stachytarpheta leaf curl virus - [hn5]
202568,183651,stachytarpheta leaf curl virus,VHostDB
134374,186385,verbena latent virus
