2161638,497,passionfruit enation virus
2094113,1056,east asian passiflora distortion virus
1737555,39944,passionfruit leaf distortion virus,VHostDB
1233096,95292,passiflora virus ppst 61486
1032457,116325,passion fruit mosaic virus,VHostDB
994385,118740,passiflora mosaic virus
693419,138341,ugandan passiflora virus
648801,145625,passionfruit severe leaf distortion virus,VHostDB
551003,152507,passiflora chlorosis virus
457561,164878,malaysian passiflora virus
368736,174611,maracuja mosaic virus,VHostDB
341167,176978,east asian passiflora virus,VHostDB
336639,177258,passiflora foetida virus y
263363,181240,passiflora virus y
35282,189379,south african passionfruit woodiness virus
31735,189536,passionfruit woodiness virus (strain tip bright)
31734,189537,passionfruit woodiness virus (strain severe)
31733,189538,passionfruit woodiness virus (strain mild)
31732,189539,passion fruit woodiness virus,VHostDB
12233,190005,south african passiflora virus
12162,190072,citrus tristeza virus,VHostDB
