2220065,0,unclassified r4virus
2220062,1,unclassified likavirus
2219222,2,adomaviridae
2219215,3,unclassified eiauvirus
2219214,4,unclassified hk578virus
2219091,6,unclassified deltaflexivirus
2219090,7,unclassified soupsvirus
2219089,8,unclassified rer2virus
2219055,9,posavirus
2219051,10,fesavirus
2219049,11,husavirus
2217650,19,rna virus sp.
2217649,20,aviadenovirus sp.
2217590,21,unclassified che8virus
2212402,40,unclassified kp15virus
2202624,49,hepacivirus sp.
2202322,50,unclassified gammapartitivirus
2202225,54,hepacivirus p
2201416,58,xingyi virus
2201415,59,lijiang virus
2201325,60,robinvale plant virus 1
2201306,78,perth betaflexivirus 1
2201305,79,hobart betaflexivirus 1
2201304,80,darwin betaflexivirus 1
2201294,90,hobart nepovirus 3
2201293,91,hobart nepovirus 2
2201292,92,hobart nepovirus 1
2201169,109,unclassified liefievirus
2201166,110,unclassified bronvirus
2201163,111,unclassified marthavirus
2201042,113,arracacha virus 1
2200909,119,unclassified pbi1virus
2200905,120,unclassified kp34virus
2200716,122,nopal tobamovirus 2
2185170,123,marine virus ag-341-p01
2185168,124,marine virus ag-345-a17
2185091,125,unclassified sitaravirus
2184716,130,unclassified v5virus
2184715,131,unclassified cr3virus
2184468,136,unclassified alphaendornavirus
2184269,147,antarctic picorna-like virus
2184035,149,unclassified vp5virus
2184034,150,autolykiviridae
2183756,151,reovirus sp. sdpy/goose
2183609,152,unclassified prtbvirus
2182415,188,unclassified vespertiliovirus
2175867,237,unclassified wphvirus
2175800,241,palo verde broom virus
2175687,243,ecterococcus phage vb_efas_al3
2175606,244,unclassified ag3virus
2175604,245,unclassified cba120virus
2175602,246,unclassified ackermannviridae
2175592,247,unclassified limestonevirus
2175279,250,rubber dandelion latent virus 1
2175278,251,rubber dandelion latent virus 2
2175004,257,unclassified guernseyvirinae
2175003,258,unclassified k1gvirus
2172093,265,unclassified sap6virus
2172092,266,unclassified andromedavirus
2172091,267,unclassified pagevirus
2172089,268,unclassified p70virus
2171721,277,unclassified fri1virus
2171716,278,unclassified tm4virus
2171586,279,unclassified korravirus
2171395,282,wuchang cockroach virus
2171375,302,fresh meadows densovirus 4
2171374,303,fresh meadows densovirus 3
2171373,304,fresh meadows densovirus 2
2171372,305,fresh meadows densovirus 1
2171371,306,chelsea phlebo-like virus
2170597,307,mogami virus
2170596,308,naganuma virus
2170595,309,notori virus
2170594,310,saiwaicho virus
2170593,311,snodland virus
2170592,312,tama virus
2170591,313,teise virus
2170590,314,barming virus
2170589,315,beult virus
2170588,316,cyril virus
2170587,317,ditton virus
2170586,318,unclassified phasmaviridae
2170578,319,eccles virus
