2185170,123,marine virus ag-341-p01
2185168,124,marine virus ag-345-a17
2162691,459,marine virus ag-345-o18
2162690,460,marine virus ag-345-l05
2162689,461,marine virus ag-345-f15
2162688,462,marine virus ag-345-e15
2162687,463,marine virus ag-345-e08
2162685,465,marine virus ag-345-p14
2162684,466,marine virus ag-345-e02
2162683,467,marine virus ag-345-d19
2162682,468,marine virus ag-339-l21
1804157,34536,marine rna virus pal_e4
1804156,34537,marine rna virus pal473
1804155,34538,marine rna virus pal438
1804154,34539,marine rna virus pal156
1804153,34540,marine rna virus pal128
1423348,75460,marine rna phage mb
1419327,75694,marine rna virus sf-3
1416631,75813,marine rna virus sf-2
1414769,76218,marine phage ec
1414768,76219,marine phage ac
1385659,78432,uncultured marine microviridae
1198329,100437,marine rna virus sf-1
707152,136578,uncultured marine phage
375198,174004,uncultured marine rna virus
320123,178491,marine birnavirus - h1
320045,178493,marine birnavirus - ay-98
253251,181647,marine aerosol phycodnavirus
186617,184308,uncultured marine virus
