2010329,10029,acidovorax phage acp17
1647385,48349,delftia phage ime-de1,VHostDB
1636270,49746,rhodoferax phage p26218,VHostDB
1563661,61904,delftia phage rg-2014,VHostDB
665032,142642,deftia phage phiw-14,VHostDB
